[2025-01-06T11:29:37.451169+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T11:38:38.063845+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T11:46:11.300619+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T11:46:25.082078+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:54:37.292915+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:56:02.394543+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:56:11.810597+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:56:55.181432+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:57:01.388311+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:57:47.489735+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:59:20.461235+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T12:59:29.538950+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:21:31.677712+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:21:36.913439+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:30:14.733608+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:33:56.555390+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:35:49.651144+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:35:58.059263+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:37:15.337902+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:37:27.124200+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:37:42.943266+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:37:46.737781+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:38:27.246510+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:39:17.265040+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:40:11.271106+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:40:26.733470+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:40:47.849798+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:43:05.700346+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:43:45.206680+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:43:53.653498+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:44:25.597615+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:45:08.492687+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:45:53.942357+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:46:05.507034+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T13:59:36.044575+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T14:00:03.615885+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T14:00:13.845038+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T14:42:18.734575+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T14:54:14.665532+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T14:54:34.030987+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T17:22:11.212897+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T18:42:54.265109+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T18:52:01.845872+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T18:58:59.654039+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-06T20:05:19.140335+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
