[2025-01-08T00:12:08.365718+00:00] name.ERROR: FILME NÃO ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T00:13:56.671601+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T00:14:14.623201+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T00:14:42.869402+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T00:14:52.138090+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T00:18:58.550874+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T00:19:55.996083+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T11:09:12.394494+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T13:04:49.839692+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T13:40:12.758098+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T19:54:45.785358+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T20:35:08.890132+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T20:35:46.291969+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-08T23:53:53.340417+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
